,sample_number,sampled_date,month,text_id,room,building,class,sample_site,sample_type,results,units,analysis
1,9550992,2022-04-01,2022-04-01 00:00:00,S-92092-H-1-01APR22-1,92092,9,ISO_5,S-92092-H-1,surface,0,CFU_25CM2,EM_RODAC
2,9550993,2022-04-01,2022-04-01 00:00:00,V-92092-H-1-01APR22-1,92092,9,ISO_5,V-92092-H-1,viable air,0,CFU_M3,EM_VAIR_M3
20,9548758,2022-04-02,2022-04-02 00:00:00,SP-91160-1-15APR22-1,91160,9,ISO_8,SP-91160-1,settle plate,0,CFU,EM_SETTLEPLATE
21,9548778,2022-04-02,2022-04-02 00:00:00,V-91160-8-15APR22-1,91160,9,ISO_8,V-91160-8,viable air,0,CFU_M3,EM_VAIR_M3
22,9548776,2022-04-02,2022-04-02 00:00:00,V-91160-7-15APR22-1,91160,9,ISO_8,V-91160-7,viable air,0,CFU_M3,EM_VAIR_M3
23,9548774,2022-04-02,2022-04-02 00:00:00,V-91160-6-15APR22-1,91160,9,ISO_8,V-91160-6,viable air,0,CFU_M3,EM_VAIR_M3
24,9548764,2022-04-02,2022-04-02 00:00:00,V-91157-1-15APR22-1,91157,9,ISO_8,V-91157-1,viable air,0,CFU_M3,EM_VAIR_M3
25,9548787,2022-04-02,2022-04-02 00:00:00,V-91163-1-15APR22-1,91163,9,ISO_8,V-91163-1,viable air,0,CFU_M3,EM_VAIR_M3
26,9548575,2022-04-02,2022-04-02 00:00:00,F-91164S-1-30APR22-1,91164,9,ISO_8,F-91164S-1,surface,0,CFU_25CM2,EM_RODAC
27,9548572,2022-04-02,2022-04-02 00:00:00,F-91163S-1-30APR22-1,91163,9,ISO_8,F-91163S-1,surface,0,CFU_25CM2,EM_RODAC
28,9548589,2022-04-02,2022-04-02 00:00:00,W-91164S-1-30APR22-1,91164,9,ISO_8,W-91164S-1,surface,0,CFU_25CM2,EM_RODAC
29,9548591,2022-04-02,2022-04-02 00:00:00,W-91164S-2-30APR22-1,91164,9,ISO_8,W-91164S-2,surface,0,CFU_25CM2,EM_RODAC
30,9548584,2022-04-02,2022-04-02 00:00:00,W-91160S-3-30APR22-1,91160,9,ISO_8,W-91160S-3,surface,0,CFU_25CM2,EM_RODAC
31,9548568,2022-04-02,2022-04-02 00:00:00,F-91160S-5-30APR22-1,91160,9,ISO_8,F-91160S-5,surface,0,CFU_25CM2,EM_RODAC
32,9548579,2022-04-02,2022-04-02 00:00:00,W-91160S-1-30APR22-1,91160,9,ISO_8,W-91160S-1,surface,0,CFU_25CM2,EM_RODAC
33,9548582,2022-04-02,2022-04-02 00:00:00,W-91160S-2-30APR22-1,91160,9,ISO_8,W-91160S-2,surface,1,CFU_25CM2,EM_RODAC
34,9548566,2022-04-02,2022-04-02 00:00:00,F-91160S-4-30APR22-1,91160,9,ISO_8,F-91160S-4,surface,0,CFU_25CM2,EM_RODAC
35,9548586,2022-04-02,2022-04-02 00:00:00,W-91160S-4-30APR22-1,91160,9,ISO_8,W-91160S-4,surface,0,CFU_25CM2,EM_RODAC
36,9548771,2022-04-02,2022-04-02 00:00:00,V-91160-2-15APR22-1,91160,9,ISO_8,V-91160-2,viable air,0,CFU_M3,EM_VAIR_M3
37,9548561,2022-04-02,2022-04-02 00:00:00,F-91160S-1-30APR22-1,91160,9,ISO_8,F-91160S-1,surface,1,CFU_25CM2,EM_RODAC
38,9548563,2022-04-02,2022-04-02 00:00:00,F-91160S-2-30APR22-1,91160,9,ISO_8,F-91160S-2,surface,2,CFU_25CM2,EM_RODAC
39,9548564,2022-04-02,2022-04-02 00:00:00,F-91160S-3-30APR22-1,91160,9,ISO_8,F-91160S-3,surface,0,CFU_25CM2,EM_RODAC
40,9548767,2022-04-02,2022-04-02 00:00:00,V-91160-1-15APR22-1,91160,9,ISO_8,V-91160-1,viable air,0,CFU_M3,EM_VAIR_M3
