sample_number,sampled_date,text_id,room,class,sample_site,sample_type,results,units
9550992,2022-04-01,S-92092-H-1-01APR22-1,92092,ISO_5,S-92092-H-1,surface,0,CFU_25CM2
9550993,2022-04-01,V-92092-H-1-01APR22-1,92092,ISO_5,V-92092-H-1,viable air,0,CFU_M3
9548758,2022-04-02,SP-91160-1-15APR22-1,91160,ISO_8,SP-91160-1,settle plate,0,CFU
9548778,2022-04-02,V-91160-8-15APR22-1,91160,ISO_8,V-91160-8,viable air,0,CFU_M3
9548776,2022-04-02,V-91160-7-15APR22-1,91160,ISO_8,V-91160-7,viable air,0,CFU_M3
9548774,2022-04-02,V-91160-6-15APR22-1,91160,ISO_8,V-91160-6,viable air,0,CFU_M3
9548764,2022-04-02,V-91157-1-15APR22-1,91157,ISO_8,V-91157-1,viable air,0,CFU_M3
9548787,2022-04-02,V-91163-1-15APR22-1,91163,ISO_8,V-91163-1,viable air,0,CFU_M3
9548575,2022-04-02,F-91164S-1-30APR22-1,91164,ISO_8,F-91164S-1,surface,0,CFU_25CM2
9548572,2022-04-02,F-91163S-1-30APR22-1,91163,ISO_8,F-91163S-1,surface,0,CFU_25CM2
9548589,2022-04-02,W-91164S-1-30APR22-1,91164,ISO_8,W-91164S-1,surface,0,CFU_25CM2
9548591,2022-04-02,W-91164S-2-30APR22-1,91164,ISO_8,W-91164S-2,surface,0,CFU_25CM2
9548584,2022-04-02,W-91160S-3-30APR22-1,91160,ISO_8,W-91160S-3,surface,0,CFU_25CM2
9548568,2022-04-02,F-91160S-5-30APR22-1,91160,ISO_8,F-91160S-5,surface,0,CFU_25CM2
9548579,2022-04-02,W-91160S-1-30APR22-1,91160,ISO_8,W-91160S-1,surface,0,CFU_25CM2
9548582,2022-04-02,W-91160S-2-30APR22-1,91160,ISO_8,W-91160S-2,surface,1,CFU_25CM2
9548566,2022-04-02,F-91160S-4-30APR22-1,91160,ISO_8,F-91160S-4,surface,0,CFU_25CM2
9548586,2022-04-02,W-91160S-4-30APR22-1,91160,ISO_8,W-91160S-4,surface,0,CFU_25CM2
9548771,2022-04-02,V-91160-2-15APR22-1,91160,ISO_8,V-91160-2,viable air,0,CFU_M3
9548561,2022-04-02,F-91160S-1-30APR22-1,91160,ISO_8,F-91160S-1,surface,1,CFU_25CM2
9548563,2022-04-02,F-91160S-2-30APR22-1,91160,ISO_8,F-91160S-2,surface,2,CFU_25CM2
9548564,2022-04-02,F-91160S-3-30APR22-1,91160,ISO_8,F-91160S-3,surface,0,CFU_25CM2
9548767,2022-04-02,V-91160-1-15APR22-1,91160,ISO_8,V-91160-1,viable air,0,CFU_M3
9548772,2022-04-02,V-91160-3-15APR22-1,91160,ISO_8,V-91160-3,viable air,0,CFU_M3
9548569,2022-04-02,F-91161S-1-30APR22-1,91161,ISO_8,F-91161S-1,surface,2,CFU_25CM2
9548571,2022-04-02,F-91162S-1-30APR22-1,91162,ISO_8,F-91162S-1,surface,3,CFU_25CM2
9548587,2022-04-02,W-91162S-1-30APR22-1,91162,ISO_8,W-91162S-1,surface,0,CFU_25CM2
9548769,2022-04-02,V-91160-11-15APR22-1,91160,ISO_8,V-91160-11,viable air,0,CFU_M3
9548559,2022-04-02,F-91157S-1-30APR22-1,91157,ISO_8,F-91157S-1,surface,4,CFU_25CM2
9548760,2022-04-02,V-91155-1-15APR22-1,91155,ISO_8,V-91155-1,viable air,0,CFU_M3
9548577,2022-04-02,W-91155S-1-30APR22-1,91155,ISO_8,W-91155S-1,surface,0,CFU_25CM2
9548557,2022-04-02,F-91155S-1-30APR22-1,91155,ISO_8,F-91155S-1,surface,0,CFU_25CM2
9548780,2022-04-02,V-91160-9-15APR22-1,91160,ISO_8,V-91160-9,viable air,0,CFU_M3
9548788,2022-04-02,V-91164-1-15APR22-1,91164,ISO_8,V-91164-1,viable air,0,CFU_M3
9548782,2022-04-02,V-91161-1-15APR22-1,91161,ISO_8,V-91161-1,viable air,0,CFU_M3
9548784,2022-04-02,V-91162-1-15APR22-1,91162,ISO_8,V-91162-1,viable air,0,CFU_M3
9548822,2022-04-04,SP-91172-1-30APR22-1,91172,ISO_8,SP-91172-1,settle plate,0,CFU
9548821,2022-04-04,SP-91171-1-30APR22-1,91171,ISO_8,SP-91171-1,settle plate,0,CFU
9548841,2022-04-04,V-91178-1-30APR22-1,91178,ISO_8,V-91178-1,viable air,0,CFU_M3
9548823,2022-04-04,V-91151-1-30APR22-1,91151,ISO_8,V-91151-1,viable air,0,CFU_M3
9548824,2022-04-04,V-91154-1-30APR22-1,91154,ISO_8,V-91154-1,viable air,0,CFU_M3
9548840,2022-04-04,V-91177-1-30APR22-1,91177,ISO_8,V-91177-1,viable air,0,CFU_M3
9548832,2022-04-04,V-91172-2-30APR22-1,91172,ISO_8,V-91172-2,viable air,0,CFU_M3
9548831,2022-04-04,V-91172-1-30APR22-1,91172,ISO_8,V-91172-1,viable air,0,CFU_M3
9548839,2022-04-04,V-91176-1-30APR22-1,91176,ISO_8,V-91176-1,viable air,6,CFU_M3
9548833,2022-04-04,V-91172-3-30APR22-1,91172,ISO_8,V-91172-3,viable air,0,CFU_M3
9548838,2022-04-04,V-91175-1-30APR22-1,91175,ISO_8,V-91175-1,viable air,0,CFU_M3
9548835,2022-04-04,V-91172-5-30APR22-1,91172,ISO_8,V-91172-5,viable air,0,CFU_M3
9548825,2022-04-04,V-91170-1-30APR22-1,91170,ISO_8,V-91170-1,viable air,0,CFU_M3
9548837,2022-04-04,V-91174-1-30APR22-1,91174,ISO_8,V-91174-1,viable air,3,CFU_M3
9548836,2022-04-04,V-91173-1-30APR22-1,91173,ISO_8,V-91173-1,viable air,0,CFU_M3
9548834,2022-04-04,V-91172-4-30APR22-1,91172,ISO_8,V-91172-4,viable air,0,CFU_M3
9548830,2022-04-04,V-91171-5-30APR22-1,91171,ISO_8,V-91171-5,viable air,0,CFU_M3
9508577,2022-04-04,F-91151S-1-30APR22-1,91151,ISO_8,F-91151S-1,surface,0,CFU_25CM2
9548826,2022-04-04,V-91171-1-30APR22-1,91171,ISO_8,V-91171-1,viable air,0,CFU_M3
9508587,2022-04-04,F-91173S-1-30APR22-1,91173,ISO_8,F-91173S-1,surface,1,CFU_25CM2
9508598,2022-04-04,W-91173S-1-30APR22-1,91173,ISO_8,W-91173S-1,surface,0,CFU_25CM2
9508588,2022-04-04,F-91174S-1-30APR22-1,91174,ISO_8,F-91174S-1,surface,0,CFU_25CM2
9508589,2022-04-04,F-91175S-1-30APR22-1,91175,ISO_8,F-91175S-1,surface,0,CFU_25CM2
9508590,2022-04-04,F-91176S-1-30APR22-1,91176,ISO_8,F-91176S-1,surface,1,CFU_25CM2
9508599,2022-04-04,W-91176S-1-30APR22-1,91176,ISO_8,W-91176S-1,surface,0,CFU_25CM2
9548827,2022-04-04,V-91171-2-30APR22-1,91171,ISO_8,V-91171-2,viable air,1,CFU_M3
9508591,2022-04-04,F-91177S-1-30APR22-1,91177,ISO_8,F-91177S-1,surface,0,CFU_25CM2
9508592,2022-04-04,F-91178S-1-30APR22-1,91178,ISO_8,F-91178S-1,surface,0,CFU_25CM2
9508600,2022-04-04,W-91178S-1-30APR22-1,91178,ISO_8,W-91178S-1,surface,0,CFU_25CM2
9508578,2022-04-04,F-91154S-1-30APR22-1,91154,ISO_8,F-91154S-1,surface,1,CFU_25CM2
9508593,2022-04-04,W-91154S-1-30APR22-1,91154,ISO_8,W-91154S-1,surface,1,CFU_25CM2
9508583,2022-04-04,F-91172S-2-30APR22-1,91172,ISO_8,F-91172S-2,surface,0,CFU_25CM2
9508582,2022-04-04,F-91172S-1-30APR22-1,91172,ISO_8,F-91172S-1,surface,0,CFU_25CM2
9508596,2022-04-04,W-91172S-1-30APR22-1,91172,ISO_8,W-91172S-1,surface,0,CFU_25CM2
9548828,2022-04-04,V-91171-3-30APR22-1,91171,ISO_8,V-91171-3,viable air,1,CFU_M3
9508586,2022-04-04,F-91172S-5-30APR22-1,91172,ISO_8,F-91172S-5,surface,0,CFU_25CM2
9508585,2022-04-04,F-91172S-4-30APR22-1,91172,ISO_8,F-91172S-4,surface,0,CFU_25CM2
9508597,2022-04-04,W-91172S-2-30APR22-1,91172,ISO_8,W-91172S-2,surface,0,CFU_25CM2
9508581,2022-04-04,F-91171S-2-30APR22-1,91171,ISO_8,F-91171S-2,surface,0,CFU_25CM2
9508584,2022-04-04,F-91172S-3-30APR22-1,91172,ISO_8,F-91172S-3,surface,1,CFU_25CM2
9508580,2022-04-04,F-91171S-1-30APR22-1,91171,ISO_8,F-91171S-1,surface,0,CFU_25CM2
9508595,2022-04-04,W-91171S-1-30APR22-1,91171,ISO_8,W-91171S-1,surface,0,CFU_25CM2
9508579,2022-04-04,F-91170S-1-30APR22-1,91170,ISO_8,F-91170S-1,surface,0,CFU_25CM2
